announcement_date,rate_new,rate_old,change_bps,direction,regime
2012-02-03,7.5,7.0,50.0,HIKE,SDFR_SLFR
2012-12-12,7.5,7.5,0.0,HOLD,SDFR_SLFR
2013-05-10,7.0,7.5,-50.0,CUT,SDFR_SLFR
2013-07-01,7.0,7.0,0.0,HOLD,SDFR_SLFR
2013-10-15,6.5,7.0,-50.0,CUT,SDFR_SLFR
2014-01-02,6.5,6.5,0.0,HOLD,SDFR_SLFR
2015-04-15,6.0,6.5,-50.0,CUT,SDFR_SLFR
2016-01-16,6.0,6.0,0.0,HOLD,SDFR_SLFR
2016-02-19,6.5,6.0,50.0,HIKE,SDFR_SLFR
2016-07-28,7.0,6.5,50.0,HIKE,SDFR_SLFR
2017-03-24,7.25,7.0,25.0,HIKE,SDFR_SLFR
2018-04-04,7.25,7.25,0.0,HOLD,SDFR_SLFR
2018-11-14,8.0,7.25,75.0,HIKE,SDFR_SLFR
2018-11-16,8.0,8.0,0.0,HOLD,SDFR_SLFR
2019-03-01,8.0,8.0,0.0,HOLD,SDFR_SLFR
2019-05-31,7.5,8.0,-50.0,CUT,SDFR_SLFR
2019-08-23,7.0,7.5,-50.0,CUT,SDFR_SLFR
2020-01-30,6.5,7.0,-50.0,CUT,SDFR_SLFR
2020-03-16,6.5,6.5,0.0,HOLD,SDFR_SLFR
2020-03-17,6.25,6.5,-25.0,CUT,SDFR_SLFR
2020-06-16,5.5,6.25,-75.0,CUT,SDFR_SLFR
2020-07-09,4.5,5.5,-100.0,CUT,SDFR_SLFR
2021-08-19,5.0,4.5,50.0,HIKE,SDFR_SLFR
2021-09-01,5.0,5.0,0.0,HOLD,SDFR_SLFR
2022-01-20,5.5,5.0,50.0,HIKE,SDFR_SLFR
2022-03-04,6.5,5.5,100.0,HIKE,SDFR_SLFR
2022-04-08,13.5,6.5,700.0,HIKE,SDFR_SLFR
2022-07-07,14.5,13.5,100.0,HIKE,SDFR_SLFR
2023-10-05,10.0,14.5,-450.0,CUT,SDFR_SLFR
2023-11-24,9.0,10.0,-100.0,CUT,SDFR_SLFR
2024-03-26,8.5,9.0,-50.0,CUT,SDFR_SLFR
2024-07-24,8.25,8.5,-25.0,CUT,SDFR_SLFR
2024-11-27,8.0,8.25,-25.0,CUT,OPR
2025-05-22,7.75,8.0,-25.0,CUT,OPR
2026-05-26,8.75,7.75,100.0,HIKE,OPR
